West Eifel Volc Field	50.16999817	6.849999905
UMBE	43.3112	12.3286	305.719	85.476192482704
UNO1	42.7217	12.1165	351.661	20.38865361759
UNOV	42.7159	12.1131	379.532	19.755418633459
UNPG	43.1194	12.3557	351.076	67.376116187206
UNTR	42.5587	12.6738	219.109	61.073063519555
UPG2	43.1191	12.3558	351.124	67.351766808214
VIT1	42.4264	12.1031	405.606	23.956507532542
VITE	42.4097	12.1097	419.155	25.78282273153
Alban Hills	41.72999954	12.69999981
ALAT	41.6729	13.3835	286.57	57.098477737081
APRI	41.5968	12.6646	125.058	15.100214271131
AQRA	42.3659	13.3743	747.127	89.998174102226
AQUI	42.3682	13.3502	713.126	88.984115328795
AQUM	42.3276	13.4672	640.544	91.8203747934
BLRA	41.8103	13.5603	419.486	71.902449315233
BRS2	42.3366	13.5816	1158.07	99.252138508831
CAOC	42.2895	13.4844	970.274	89.835877121595
CAPR	42.2571	12.1772	436.551	72.814088486714
CERT	41.9491	12.9818	765.405	33.742106183855
CIVI	42.0962	11.789	74.981	85.676411950188
CONI	42.4117	13.3932	1239.08	94.971787122033
FOMU	41.356	13.4322	79.832	73.774928050826
FORM	41.2811	13.6994	117.407	97.043355341662
FROS	41.6391	13.3505	318.44	54.956385580204
GUA1	41.7944	13.3122	718.778	51.279475527177
INGP	42.3825	13.3156	731.848	88.584481486041
INGR	41.8281	12.5148	104.489	18.8367157557
LAT1	41.4708	12.9014	97.918	33.333700374253
M0SE	41.8931	12.4933	120.565	24.9475390481
MORO	42.0525	12.619	201.562	36.481814103522
MTER	42.5088	13.2143	1142.83	96.429157964475
MTRA	42.5278	13.24	995.828	99.260633258644
MTTO	42.4555	12.9927	1738.09	84.209519294965
OCRA	42.0495	13.039	878.228	45.27239748865
OLGI	42.0547	12.3551	207.842	46.028119641597
OTRA	41.9549	13.646	729.171	82.257940449976
OVRA	42.1376	13.5151	1432.1	81.241672964184
POFI	41.7174	13.7119	850.445	83.990593233691
R1ET	42.4032	12.8533	460.904	75.918526928669
RDPI	41.7604	12.7103	816.71	3.4867169536384
REAM	42.5587	12.4119	440.639	95.159238229184
RIE2	42.4076	12.8571	457.182	76.453486465557
RIET	42.4076	12.8571	457.187	76.453486465557
RMPO	41.8111	12.7032	449.674	9.0218641084735
ROAN	41.9037	12.4195	154.655	30.222521181796
ROIO	42.3376	13.379	1012.72	87.802803869141
ROMA	41.9049	12.422	146.033	30.14919820343
ROPI	42.332	13.3372	991.861	85.150235005358
SFCI	41.2498	13.1002	64.742	62.946259068309
SGL1	41.4068	13.7655	100.624	95.648496916128
SGRE	42.3362	13.5011	808.412	94.451450764301
SOR2	41.7153	13.6053	339.965	75.151126699957
SORA	41.7135	13.6034	340.807	74.999158279016
TARQ	42.2539	11.7575	185.622	97.26592789902
TER5	42.5718	12.635	199.986	93.757179394562
TERI	42.567	12.6495	209.76	93.163268296314
TOLF	42.064	12	362.773	68.818555283709
UNTR	42.5587	12.6738	219.109	92.172599615061
VIT1	42.4264	12.1031	405.606	91.777700184825
VITE	42.4097	12.1097	419.155	89.923652300353
VVLO	41.8696	13.6232	1045.79	78.085254844843
Campi Flegrei	40.82699966	14.13899994
ALIF	41.327	14.3346	167.688	57.964559990532
ANG3	40.9309	15.1839	921.252	88.604613392328
AVE1	40.9119	14.7833	420.275	54.99277137278
AVO1	41.1098	15.0827	554.236	85.244577304184
