SITE	LAT	LON	ellipsoid height
AHID	42.7731	-111.0637	1975.54
AHTI	-38.4114	178.046	563.258
AHUP	19.3791	-155.2661	1104.88
AHVA	31.3396	48.6844	12.593
AHVZ	31.3439	48.7444	5.745
AIAH	33.8492	-117.8625	38.22
AICI	43.3336	-1.0144	121.401
AIES	13.4473	-89.0504	37.846
AIGL	44.1214	3.5813	1618.76
AILT	47.877	3.3559	186.791
AINP	19.3727	-155.458	1567.88
AIRA	31.8241	130.5996	314.65
AIRP	27.6971	85.3579	1284.7
AIRS	16.7408	-62.2139	84.35
AIS1	55.0691	-131.5995	32.311
AIS2	55.0689	-131.5992	32.321
AIS5	55.0691	-131.5995	32.399
AIS6	55.0689	-131.5992	32.42
AISD	33.0239	-117.0858	141.587
AISH	61.1938	-136.9991	933.322
AITB	14.0794	100.6124	-17.756
AIZK	56.5991	25.2502	117.548
AIZW	23.7235	92.7318	767.984
AJAC	41.9275	8.7626	98.771
AJAL	41.2161	-2.2736	884.225
AJOE	59.0121	27.4239	59.807
AKDG	39.6602	35.8716	1404.9
AKGG	54.1982	-165.9937	350.196
AKHR	38.3693	31.4297	1046.43
AKKO	52.0162	70.9369	368.173
AKLV	54.1627	-165.9558	543.3
AKMO	54.0903	-166.0123	297.99
AKRB	54.1292	-166.0711	364.13
AKSI	37.0477	31.7875	1193.45
AKSR	38.3704	33.9981	1005.87
AKTO	-40.5398	176.4612	432.984
AKUR	65.6854	-18.1225	134.169
AKYR	34.9808	24.9126	458.159
AL10	34.435	-86.2682	167.154
AL13	34.6035	-85.9308	387.575
AL15	33.9903	-86.0796	142.783
AL20	34.7103	-87.6627	131.934
AL23	34.1486	-87.9536	141.185
AL30	33.5324	-86.8534	148.522
AL35	33.1651	-86.7568	146.342
AL40	32.9627	-86.0063	210.972
AL46	32.3257	-85.1606	117.366
AL4A	32.9621	-86.0068	208.665
AL50	33.168	-87.5015	97.932
AL55	32.7115	-87.6156	62.195
AL60	32.4114	-86.2705	44.76
AL62	32.1482	-85.6868	140.814
AL70	31.7827	-85.9652	141.969
AL76	31.875	-85.2257	100.122
AL81	32.5757	-88.1818	21.109
AL82	32.2574	-87.6258	25.767
AL83	31.9946	-87.3333	44.28
AL84	31.7004	-87.7892	111.475
AL90	30.6908	-88.0317	-17.323
AL92	30.9164	-87.7757	60.935
ALA1	32.5989	-85.5039	184.104
ALA2	43.2876	76.9426	701.159
ALAB	41.4047	71.4955	1227.24
ALAC	38.3389	-0.4812	60.332
ALAJ	28.0638	-17.2411	899.116
ALAL	19.3815	-155.5915	3203.59
ALAM	37.358	-115.1585	1090.01
ALAN	31.3074	-86.484	85.275
ALAR	-9.7492	-36.6534	266.286
ALAS	33.667	-85.8307	203.136
ALAT	41.6729	13.3835	286.57
ALAU	32.6081	-85.4803	193.557
ALAV	31.5519	-85.2343	110.024
ALAW	-34.7099	140.4933	67.444
ALB2	-36.0775	146.9156	197.552
ALB3	7.7605	-73.3894	132.58
ALB4	43.9342	2.1368	206.968
ALB5	39.9458	16.4559	967.595
ALBA	38.9779	-1.8564	751.759
ALBE	34.4754	-87.8646	226.453
ALBH	48.3898	-123.4875	31.768
ALBI	10.6635	-61.5147	19.129
ALBL	43.6766	-93.3297	371.527
ALBO	35.9398	-3.0342	62.235
ALBU	32.0816	-88.2332	16.87
ALBY	-34.9502	117.8102	36.637
ALC1	33.2623	-88.0954	57.948
ALC2	41.0569	-0.144	391.842
ALC3	37.982	12.9667	314.707
ALC4	38.7853	-8.8729	85.969
ALCA	37.7308	-0.8608	67.363
ALCE	32.946	-87.1506	56.237
ALCH	31.451	-88.1959	22.84
ALCI	48.4569	38.9061	142.477
ALCL	32.8399	-86.6298	167.657
ALCN	34.1631	-85.6586	164.908
ALCO	38.698	-0.4735	640.121
ALCT	31.029	-88.2297	70.136
ALCU	34.1799	-86.8449	222.83
ALDA	42.7544	-2.3319	881.815
ALDB	52.1532	1.6028	56.961
ALDE	27.9848	-15.7803	122.407
ALDI	30.2492	-88.078	-19.127
ALDO	31.2395	-85.4402	79.689
ALDS	34.1482	-87.4049	226.256
ALE1	31.1971	29.911	57.968
ALE2	45.8876	-95.3915	408.608
ALE3	40.8492	25.8535	59.815
ALEB	31.0915	-87.0556	13.503
ALEF	29.6918	-95.6351	5.592
ALEP	19.5412	-155.6441	2922.26
ALES	44.9233	8.6163	147.103
ALEX	45.8925	-95.3844	408.76
